Employer Name,Employer City,Employer State Code,Employer Zip Code,Workforce Size
(Palo Alto) Danisco US Inc aka Genencor,Palo Alto,CA,94304,100 to 499
0213 - Westaff,Tracy,CA,95376,100 to 499
"0226 - Palm Desert, CA",Palm Desert,CA,92260,20 to 99
"0263 - San Diego, CA",San Diego,CA,92154,20 to 99
"0703 - San Diego, CA",San Diego,CA,92115,20 to 99
"0705 - Chula Vista, CA",Chula Vista,CA,91911,20 to 99
"0714 - National City, CA",National City,CA,91950,20 to 99
"0720 - Santee, CA",Santee,CA,92071,20 to 99
"0722 - El Cajon, CA",El Cajon,CA,92020,20 to 99
"0731 - Clairemont, CA",San Diego,CA,92117,20 to 99
"0733 - Mira Mesa, CA",Mira Mesa,CA,92126,20 to 99
"0735 - Oceanside, CA",Oceanside,CA,92057,20 to 99
"0759 - San Marcos, CA",San Marcos,CA,92069,20 to 99
"1 & 1 home health, inc",placentia,CA,92870,5 to 9
1 Source Staffing Services,Mountain View,CA,94040,5 to 9
"10-4 Construction, Inc",Chino,CA,91710,5 to 9
"101 VERTICAL FABRICATION, INC.",FONTANA,CA,92335,20 to 99
"1099 Pro, Inc.",Calabasas,CA,91302,"10,000 and over"
"10th Degree, LLC",Lake Forest,CA,92630,20 to 99
"1114 Group, LLC",West Hollywood,CA,90046,20 to 99
123eWireless,Rancho Santa Margarita,CA,92688,20 to 99
13-D Fire Systems,Novato,CA,94949,10 to 19
13333 Fenton Avenue LLC,Sylmar,CA,91342,100 to 499
"1334 PARTNERS, LP",MANHATTAN BEACH,CA,90266,100 to 499
13400 Sherman Way LLC,North Hollywood,CA,91605,100 to 499
1400 W Branch LLC,Arroyo Grande,CA,93420,20 to 99
1440 South Euclid Street LLC,Anaheim,CA,92802,100 to 499
1515 - Auburn Journal,Auburn,CA,95603,100 to 499
"1659 West North Temple, LLC",Rancho Cucamonga,CA,91730,20 to 99
1710 - Press Tribune,Roseville,CA,95678,100 to 499
1819 - Wine Country This Week,Sonoma,CA,95476,10 to 19
18th Street Commissary Inc,San Francisco,CA,94110,100 to 499
1928 Jewelry Company,Burbank,CA,91504,100 to 499
1ANCHORBAYONE INC.,Elk Grove,CA,95758,5 to 9
1LOS ANGELES SPECIAL CENSUS RO,Van Nuys,CA,91406,100 to 499
1on1 AcademicTutors,Culver City,CA,90230,500 to 999
1st Advantage Business Solutions,Cerritos,CA,90703,10 to 19
"1st Auto Transport Directory, Inc",San Diego,CA,92130,20 to 99
"1st Choice Credit Solutions, Inc.",Anaheim,CA,92807,20 to 99
1st Choice Equipment Rentals Inc,San Diego,CA,92126,10 to 19
1ST CHOICE FINANCIAL PROTECTION INC,NEWPORT BEACH,CA,92660,20 to 99
"1st Choice Modular Installation, LLC",Santa Ana,CA,92705,20 to 99
"1st Choice Staffing, Inc",Ontario,CA,91764,"1,000 to 2,499"
"1st Class Collision of Murrieta, Inc.",Murrieta,CA,92562,20 to 99
1st Class Staffing LLC,Mira Loma,CA,91752,100 to 499
1ST NATIONAL CORPORATION,BEVERLY HILLS,CA,90212,10 to 19
1St Pacific Credit Union,Vallejo,CA,94564,20 to 99
1ST PROVIDENCE HOME HEALTH CARE,PALM SPRINGS,CA,92262,20 to 99
2 Sisters Food Group Inc,Riverside,CA,92518,100 to 499
2035 - Hi-Desert Publishing,Yucca Valley,CA,92284,100 to 499
2060 - Grizzly,Big Bear Lake,CA,92315,20 to 99
2063 - Mountain News,Lake Arrowhead,CA,92352,20 to 99
211 San Diego,San Diego,CA,92123,20 to 99
